Time;Iteration;Description;Value
17:22:12;1;Entered Screen;1
17:23:20;1;Time Spent;67
17:23:20;1;Entered Screen;2
17:24:16;1;Time Spent;56
17:24:16;1;Entered Screen;3
17:38:39;1;Total strain energy;2,75E+06
17:38:39;1;Total structural volume;7,59E+10
17:38:39;1;1, Space ID: 7;1360000
17:38:39;1;2, Space ID: 3;775101
17:38:39;1;3, Space ID: 8;281620
17:38:39;1;4, Space ID: 1;251228
17:38:39;1;5, Space ID: 2;251228
17:38:39;1;6, Space ID: 10;166833
17:38:39;1;7, Space ID: 9;153163
17:38:39;1;8, Space ID: 4;74013
17:38:39;1;9, Space ID: 5;62647,7
17:38:39;1;10, Space ID: 6;62647,7
17:38:39;1;Number of beams;36
17:38:39;1;Number of trusses;4
17:38:39;1;Number of flat shells;10
17:38:39;1;Time Spent;862
17:38:39;1;Entered Screen;5
17:39:28;1;Space Removed;7
17:39:34;1;Time Spent;55
17:39:34;1;Entered Screen;6
17:40:30;1;Space Split;9
17:40:30;1;Scale Factor;1,1832
17:40:34;1;Time Spent;59
17:40:34;1;Entered Screen;7
17:41:07;2;Time Spent;33
17:41:07;2;Entered Screen;1
17:41:20;2;Time Spent;12
17:41:20;2;Entered Screen;2
17:41:33;2;Time Spent;13
17:41:33;2;Entered Screen;4
17:46:12;2;Total strain energy;1,35E+06
17:46:12;2;Total structural volume;4,77E+10
17:46:12;2;1, Space ID: 1;312563
17:46:12;2;2, Space ID: 2;298074
17:46:12;2;3, Space ID: 3;240993
17:46:12;2;4, Space ID: 11;226653
17:46:12;2;5, Space ID: 12;177966
17:46:12;2;6, Space ID: 8;163792
17:46:12;2;7, Space ID: 4;163216
17:46:12;2;8, Space ID: 6;103337
17:46:12;2;9, Space ID: 5;87362
17:46:12;2;10, Space ID: 10;80340,8
17:46:12;2;Number of beams;32
17:46:12;2;Number of trusses;2
17:46:12;2;Number of flat shells;10
17:46:12;2;Time Spent;278
17:46:12;2;Entered Screen;5
17:46:36;2;Space Removed;10
17:47:19;2;Time Spent;67
17:47:19;2;Entered Screen;6
17:47:42;2;Space Split;8
17:47:42;2;Scale Factor;1,05412
17:47:44;2;Time Spent;25
17:47:44;2;Entered Screen;8
17:47:52;2;Time Spent;7
17:47:52;2;Entered Screen;9
17:48:35;4;How satisfied were you with the overall design process you experienced?;Not indicating the numbers of the surfaces into the model was very irritating
17:48:35;2;Time Spent;42
17:48:35;2;Entered Screen;10
17:48:54;3;How easy was it to use the design tools provided?;Missing the numbers indicaitng the surfaces was irritating
17:48:54;2;Time Spent;18
17:48:54;2;Entered Screen;11
17:49:01;3;How satisfied are you with the design decisions you made?;
17:49:01;2;Time Spent;7
17:49:01;2;Entered Screen;12
17:49:24;0;How do you think having AI assistance would have changed your design process?;Where to add the beams, flats or trusses
17:49:24;2;Time Spent;22
17:49:24;2;Entered Screen;13
17:49:41;0;Would you choose to use this design process in future projects based on your current experience?;
17:49:41;2;Time Spent;16
17:49:41;2;Entered Screen;14
17:49:55;0;Please provide any additional comments or suggestions on how we could improve the design process used in this experiment.;Adding number to the surfaces areas
17:49:55;2;Time Spent;14
17:49:55;2;Entered Screen;15
;;;
