Time;Iteration;Description;Value
16:03:00;1;Entered Screen;1
16:03:28;1;Time Spent;27
16:03:28;1;Entered Screen;2
16:05:14;1;Time Spent;106
16:05:14;1;Entered Screen;3
16:18:46;1;Total strain energy;1,55E+07
16:18:46;1;Total structural volume;8,30E+10
16:18:47;1;1, Space ID: 3;4590000
16:18:47;1;2, Space ID: 4;3380000
16:18:47;1;3, Space ID: 7;3250000
16:18:47;1;4, Space ID: 2;3010000
16:18:47;1;5, Space ID: 6;2640000
16:18:47;1;6, Space ID: 5;2640000
16:18:47;1;7, Space ID: 1;2080000
16:18:47;1;8, Space ID: 9;1720000
16:18:47;1;9, Space ID: 8;151000
16:18:47;1;10, Space ID: 10;426426
16:18:47;1;Number of beams;40
16:18:47;1;Number of trusses;10
16:18:47;1;Number of flat shells;0
16:18:47;1;Time Spent;812
16:18:47;1;Entered Screen;5
16:20:04;1;Space Removed;10
16:20:09;1;Time Spent;82
16:20:09;1;Entered Screen;6
16:20:27;1;Space Split;7
16:20:27;1;Scale Factor;1,0378
16:20:30;1;Time Spent;21
16:20:30;1;Entered Screen;7
16:20:33;2;Time Spent;2
16:20:33;2;Entered Screen;1
16:20:42;2;Time Spent;8
16:20:42;2;Entered Screen;2
16:20:43;2;Time Spent;1
16:20:43;2;Entered Screen;4
16:22:55;2;Total strain energy;9,47E+06
16:22:55;2;Total structural volume;9,25E+10
16:22:55;2;1, Space ID: 3;2200000
16:22:55;2;2, Space ID: 12;2180000
16:22:55;2;3, Space ID: 2;1990000
16:22:55;2;4, Space ID: 1;1980000
16:22:55;2;5, Space ID: 11;1570000
16:22:55;2;6, Space ID: 4;1170000
16:22:55;2;7, Space ID: 8;1140000
16:22:55;2;8, Space ID: 9;1110000
16:22:55;2;9, Space ID: 5;519479
16:22:55;2;10, Space ID: 6;354885
16:22:55;2;Number of beams;41
16:22:55;2;Number of trusses;4
16:22:55;2;Number of flat shells;0
16:22:55;2;Time Spent;131
16:22:55;2;Entered Screen;5
16:23:14;2;Space Removed;11
16:23:15;2;Time Spent;19
16:23:15;2;Entered Screen;6
16:23:33;2;Space Split;6
16:23:33;2;Scale Factor;1,0871
16:23:35;2;Time Spent;20
16:23:35;2;Entered Screen;8
16:23:37;2;Time Spent;2
16:23:37;2;Entered Screen;9
16:26:32;3;How satisfied were you with the overall design process you experienced?;The interface to select structural element is kind of tedious because there isn't any indications of element index. As the result, a user have to check each options to figure out which element is which.
16:26:32;2;Time Spent;174
16:26:32;2;Entered Screen;10
16:27:05;3;How easy was it to use the design tools provided?;As stated in question 1, it isn't easy to use, nor to rotate
16:27:05;2;Time Spent;32
16:27:05;2;Entered Screen;11
16:28:50;3;How satisfied are you with the design decisions you made?;I think it's logical to add bracings to the caltilevered structure, but some of the spaces don't necessarily have to be remove.
16:28:50;2;Time Spent;105
16:28:50;2;Entered Screen;12
16:31:18;0;How do you think having AI assistance would have changed your design process?;I don't think AI in this case is better than a interactive and realtime structural analysis, at least the influence of AI is not that significant compared to facade design. I also don't think structural stability should be met by removing spaces.
16:31:18;2;Time Spent;148
16:31:18;2;Entered Screen;13
16:33:03;0;Would you choose to use this design process in future projects based on your current experience?;Yes, I think the function of changing element in realtime is great, but I'll also use it with structural analysis.
16:33:03;2;Time Spent;104
16:33:03;2;Entered Screen;14
16:33:20;0;Please provide any additional comments or suggestions on how we could improve the design process used in this experiment.;Perhaps a realtime FEA?
16:33:20;2;Time Spent;16
16:33:20;2;Entered Screen;15
;;;
